いひいてむ ことのはもなほ しのはれて こころにこむる わかおもひかな
いひさして ととめらるなる いけみつの なみいつかたに おもひよるらむ
いひしらぬ なこりをひとに したはれて いまはとかへる はるのかりかね
いひそめて こころかはらは なかなかに ちきらぬさきそ こひしかるへき
いひつつも よははかなきを かたみには あはれといかて きみにみえまし
いふからに つらさそまさる あきのよの くさのとさしに さはるへしやは
いふきやま みねなるくさの さしもこそ わすれしとまて ちきりおきしか
いふよりも いはておもふは まさるとて とはぬもとふに おとりやはせし
いへつとに あまたのはなも をるへきに ねたくもたかを すゑてけるかな
いへつとに をりつるはなも いたつらに かへさわするる やまさくらかな
いへにきて なにをかたらむ あしひきの やまほとときす ひとこゑもかな
いへのかせ たえすつたへて あめのした なへてあふくと きくそかしこき
いへのかせ なほふきたえす とよあまり またかけなひく にはのくれたけ
いへのかせ ふきそつたへむ かすかやま すゑはのふちも かけなひくまて
いへのかせ ふきつたへすは このもとに あたらもみちの くちやはてまし
いへのかせ ふくともみえぬ このもとに かきおくことの はをちらすかな
いへはえに いはねはむねに さわかれて こころひとつに なけくころかな
いへはえに ふかくかなしき ふえたけの よこゑはたれと とふひともかな
いへはなほ ひとこそうけれ いくよしも あらしわかみを なとわするらむ
いほさきの こぬみのはまの うつせかひ もにうつもれて いくよへぬらむ
いほしめて すむとはひとに みえすとも こころのうちの やまかけもかな
いほにもる つきのかけこそ さひしけれ やまたはひたの おとはかりして
いほむすふ ふしみのをたは なのみして ねられぬつきに あきかせそふく
いほむすふ やまちのゆきも としふりて うつもるるみは とふひともなし
いほむすふ わさたのなるこ ひきかへて よさむになりぬ つゆのころもて
いほりさす ならのこかけに もるつきの くもるとみれは しくれふるなり
いほりさす やまたのおしね かりしほに いなはいろつく あきのむらさめ
いまきくも なみたなりけり いにしへの すきたつほらの ふかきみのりは
いまここに うつすもたかき みやゐかな もとのなきさの たまつしまひめ
いまこそは おもひとかるれ ちとせまて もとめしのりの はなのしたひも
いまこそは たかののみねの つきをみて ふかきみのりの ほともしらるれ
いまこむと いひしはかりを いのちにて まつにけぬへし さくさめのとし
いまこむと いひたにおかて しらつゆの かりのやとりを わかれぬるかな
いまこむと いひてわかれし きみなれは なきよときけと なほそまたるる
いまこむと たのめしことを わすれすは このゆふくれの つきやまつらむ
いまこむと たのめしひとの なかりせは ねてありあけの つきをみましや
いまこむと たのめしひとや いかならむ つきになくなく ころもうつなり
いまこむと たのめつつふる ことのはそ ときはにみゆる もみちなりける
いまこむと たのめぬよはも またるるは つきこそひとの ちきりなりけれ
いまこむと ちきりしことは ゆめなから みしよににたる ありあけのつき
いまこむと ちきりしひとの おなしくは はなのさかりを すくささらなむ
いまこむと ちきりたにおけ かたいとの あひもあはすも たまのをにせむ
いまさくら さきぬとみえて うすくもり はるにかすめる よのけしきかな
いまさらに いかなるこまか なつくへき すさへぬくさと のかれにしみを
いまさらに うきをうしとて おとろくも よのことわりを しらぬなりけり
いまさらに おとろかれぬる こころかな ゆめよりのちも うつつならぬを
いまさらに おもひいつるも たのまねは まつともいはし ゆふくれのそら
いまさらに かすますとても なにはかた なかむるものを はるのあけほの
いまさらに かへらぬものと しりなから しのはすはなき むかしなりけり
いまさらに くへきよひとも たのまれす ちきりたえにし ささかにのいと
いまさらに くやしかりけり やまさとに すまてうきよを なになけきけむ
いまさらに こひしきやなそ いにしへも みはかすならぬ なけきをそせし
いまさらに すつとはいはし かくてよに あるかひもなき おなしうきみを
いまさらに すまのうらちの もしほくさ かくにつけても ぬるるそてかな
いまさらに そてのいろにや しらるらむ かねてもそめし こころなれとも
いまさらに つねなきよをは おとろかて しりていとはぬ みをなけくかな
いまさらに としのくれとも おとろかす いそきなれたる あさまつりこと
いまさらに とふへきひとも おもほえす やへむくらして かとさせりてへ
いまさらに なにとかゆきの うつむらむ わかみよにふる みちはたえにき
いまさらに のほりそやらぬ くらゐやま くるしかるへき よよのあとかは
いまさらに ひとをはなにか つららゐる したにもしのふ みつからそうき
いまさらに まつひとこめや あまのはら ふりさけみれは よもふけにけり
いまさらに やまへかへるな ほとときす こゑのかきりは わかやとになけ
いまさらに ゆきふらめやも かけろふの もゆるはるひと なりにしものを
いまさらに わかるとなにか おもふらむ われこそさきに いへをいてしか
いまさらに わするとひとを うらむれは たのみしほとの みえぬへきかな
いましかも ゆふたちすらし あしひきの やまのはかくす くものひとむら
いましはと わひにしものを ささかにの ころもにかかり われをたのむる
いましはや またるるつきそ にほふらし むらくもしろき やまのはのそら
いまそうき かはるちきりの しらまゆみ なひきそめてし こころよわさは
いまそきく しかなくのへに きりはれて もとこしみちも へたてなしとは
いまそけに こころひらけて きみかよに はなもかひある いろをそへける
いまそこれ いりひをみても おもひこし みたのみくにの ゆふくれのそら
いまそしる あつめしたまの かすかすに みをてらすへき ひかりありとは
いまそしる ありしかたみの はなそとも おくるるそてに とまるにほひを
いまそしる えたをつらぬる このもとに さとりひらけし おやのこころは
いまそしる おもひのはては よのなかの うきくもにのみ ましるものとは
いまそしる くるしきものと ひとまたむ さとをはかれす とふへかりけり
いまそしる なひくけふりも しほたるる みにはよそなる ならひありとは
いまそしる なれぬかりねの とこまても くさはにあまる つゆのめくみを
いまそしる まくすかはらに ふくかせの うらみもこひに かへるものとは
いまそしる みのりのはなも ふるきよに ためしありける ひとのをしへを
いまそしる わかみのみにて あるときに ひともひととは おもふなりけり
いまそしる われをふるせる ときそとも しくれてかはる あきのゆふくれ
いまそみる きみかこころも をりをえて はるのときしる はなのひとえた
いまそみる よそちあまりの ことのはに あらはれさりし つゆのひかりを
いまたにも かかりといひし たきつせの そのをりまては むかしなりけむ
いまたにも なかてはあらし ほとときす むらさめすくる くものゆふくれ
いまになり むかしにかへり おもふまに ねさめのかねも こゑつきぬなり
いまのまも いかにかおもひ なりぬると まつよひしもそ しつこころなき
いまはさは あひみむまては かたくとも いのちとならむ ことのはもかな
いまはさは おもひしりぬや わすれみつ たゆるはたれも おなしつらさを
いまはしも ほにいてぬらむ あつまちの いはたのをのの しののをすすき
いまはたた いけらぬものに みをなして うまれぬのちの よにもふるかな
いまはたた うらむるまては みえすとも つらさをいかて おもひしらせむ
いまはたた おさふるそても くちはてて こころのままに おつるなみたか
いまはたた おもひたえなむ とはかりを ひとつてならて いふよしもかな
いまはたた おもひたえねと つきひさへ へたつるなかを なにしたふらむ
いまはたた おやのいさめし うたたねの ゆめちにたにも あひみてしかな
いまはたた かさねしさての うつりかも こころのうちに のこるはかりそ
いまはたた きみかみかけを たのむかな くもかくれにし つきをこひつつ
いまはたた こころのほかに きくものを しらすかほなる をきのうはかせ
いまはたた したふはかりの としのくれ あはれいつまて はるをまちけむ
いまはたた とはてとしふる きみよりも うきにたへたる みをそうらむる
いまはたた のこるはかりの ひかすこそ とまらぬはるの たのみなりけれ
いまはたた ひとのうきなそ しのはるる みはなからへむ いのちならねは
いまはたた またしとたにも おもははや こぬをならひの ゆふくれのそら
いまはたた むかしそつねに こひらるる のこりありしを おもひてにして
いまはたた ゆめとそなれる いつまてか おもひいてしも うつつなりけむ
いまはたた わするはかりの あふことを つらきにつけて しのはすもかな
いまはとて あきはてられし みなれとも きりたちひとを えやはわするる
いまはとて いなはのやまの ほとときす わすれかたみの ひとこゑもかな
いまはとて いりにしやまの あをつつら なほもくるしき このよなりけり
いまはとて うつりはてにし きくのはな かへるいろをは たれかみるへき
いまはとて おもひかへせと さよころも うらめしからぬ ときのまもなし
いまはとて おもひたえても あられねは またぬゆふへも そてはぬれけり
いまはとて かきなすことの はてのをの こころほそくも なりまさるかな
いまはとて かたみのころも ぬきすてて いろかはるへき ここちこそせね
いまはとて くもゐをいてし いさよひの むつきのつきの かけそわすれぬ
いまはとて こすゑにかかる うつせみの からをみむとは おもはさりしを
いまはとて こゑもしのはす ほとときす たれにわかれを をしむなるらむ
いまはとて さはへにかへる あしたつの なほたちいつる わかのうらなみ
いまはとて たのむのかりも うちわひぬ おほろつきよの あけほののそら
いまはとて つきもなこりや をしむらむ はなちるやまの ありあけのそら
いまはとて つらきになして みるひとの さてもいかにと いふしもそうき
いまはとて とひわかるめる むらとりの ふるすにひとり なかむへきかな
いまはとて のこるかけなく ちるはなの かたもさためす はるやゆくらむ
いまはとて みさらむあきの そらまても おもへはかなし よはのつきかけ
いまはとて みやまをいつる ほとときす いかなるやとに なかむとすらむ
いまはとて ゆきかへりぬる こゑならは おひかせにても きこえましやは
いまはとて よをのかれけむ ほとよりも おもひこそやれ このはちるころ
いまはとて わかるるときは あまのかは わたらぬさきに そてそひちぬる
いまはとて わかれしままの とりのねを わすれかたみの しののめのそら
いまはとも おもひなたえそ のなかなる みつのなかれは ゆきてたつねむ
いまははや うつろひにける このはゆゑ よそのむらくも なにしくるらむ
いまははや ききふりぬへき さみたれの そらにもあかぬ ほとときすかな
いまははや こひしなましを あひみむと たのめしことそ いのちなりける
いまははや そてにそつつむ おもひせく こころのうちの たきのしらたま
いまははや ちるとこたへは いかかせむ ひとにもとはし やまのさくらを
いまははや ひとのとふまて なりにけり おもふあまりの ゆふくれのそら
いまははや まちならひこし ゆふくれを むかしになして ぬるるそてかな
いまははや みやまをいてて ほとときす けちかきこゑを われにきかせよ
いまははや よそにのみきく あかつきも おなしねにこそ とりはなくなれ
いまははや よをもうらみす みひとつの うきになしてそ ねはなかれける
いまはまた あかすたのめし かけもみす そこともしらぬ やまのゐのみつ
いまはまた ありしそのよの おもかけも つらきかたみに つきそのこれる
いまはまた いつはりにたに たのめぬや かはるこころの まことなるらむ
いまはまた かすみへたてて おもふかな おほうちやまの はるのあけほの
いまはまた さつききぬらし いそのかみ ふるのあらたに さなへとるなり
いまはまた たかゆめちにか かよふらむ おもひねにたに みるよはもなし
いまはまた ちかひのうみの わたしもり くるしきなみに ひとはしつめし
いまはまた とふへきみちそ なかりける こころのおくを たつねきはめて
いまはまた はなのかけとも たのまれす くれなはなけの はるのひかすに
いまはまた みによそへても したふかな なかはすきゆく あきのよのつき
いまはまた われもなくねを そふるかな つるのはやしの あかつきのそら
いまはみに くもりはてぬと かなしきは おいのなみたの はるのよのつき
いまはみの ことしけからぬ やとにしも なほみちとつる にはのなつくさ
いまはみの やまとしたかき あきのつき いてていくたひ よにつかふらむ
いまはみの よそにへたつる あききりの たちののこまは けふかひくらし
いまはよし なれしはかりは あらすとも なほさりにたに とふよはもかな
いまはよに おもひますへき かたもなし こころのとかに はなをたにみむ
いまはよに なしともきかは おもひしれ これをかきりに うらみけりとは
いまはよに われよりほかは あはれとも たれみつくきの あとをしのはむ
いまはよも いふにもよらし なほさりの つらさをなとか うらみさりけむ
いまはわれ うきよをよそに すみそめの ゆふへのいろの あはれなるかな
いまはわれ たれとともにか ならふへき ふるきまくらそ みるもかなしき
いまはわれ としののこりを さりともと たのみしほとの なくさめもなし
いまはわれ よしののやまの はなをこそ やとのものとも みるへかりけれ
いままてに なとかははなの さかすして よそとせあまり としきりはする
いままてに よにありへむと おもはぬを そむくみちにも おくれぬるかな
いままては よよへてすみし しらかはの にこらしみつの こころはかりは
いままても きえてありつる つゆのみは おくへきやとの あれはなりけり
いまむかふ かたはあかしの うらなから またはれやらぬ わかおもひかな
いまもかも さきにほふらむ たちはなの こしまのさきの やまふきのはな
いまもなほ あはれをかけよ みくまのや むかしのあとは かみもわすれし
いまもなほ こころのやみに おとろきぬ つかへてなれし とりのやこゑを
いまもなほ ころもてさえて あつさゆみ はるともいはす ゆきはふりつつ
いまもなほ しくるるそては ほしやらす みしよのゆめの あきのわかれに
いまもなほ たのみそわたる むかしわか みをたてそめし かものかはなみ
いまもなほ つかへていそく あかつきを しらてやとりの おとろかすらむ
いまもなほ なれしむかしは わすれぬを かけさらめやは わかのうらなみ
いまもなほ ひかりなきみの くやしきは むかしあつめぬ ほたるなりけり
いまもなほ ふるきなかれの たえすして むかしをうつす せりかはのみつ
いまもなほ むかしわすれぬ かたみとや あたにこほるる なみたなるらむ
いまもなほ ゆめかとおもふ かなしさを たかまこととて おとろかすらむ
いまもまた かめのをやまの みねのまつ たえぬみかけと なほあふくかな
いまもまた つもれることを とはるるは ちりにつけとや やまとことのは
いまもまた ゆきてもみはや いそのかみ ふるのたきつせ あとをたつねて
いまもよに さすかいのちの なからへて いけるかひなき みをうらみつつ
いまやゆめ むかしやゆめと たとられて いかにおもへと うつつとそなき
いまよりの あきのいろこそ さひしけれ すゑののをはな しもむすふなり
いまよりの あきのねさめを いかにとも をきのはならて たれかとふへき
いまよりの ころもかりかね あきかせに たかよさむとか なきてきぬらむ
いまよりの しくれもつゆも いかならむ うつろひそめし かみなひのもり
いまよりの ちとせののちの ちとせをも きみそかそへて ありかすにせむ
いまよりの なかきよさむを いかかせむ ゆふつけとりの をきのうはかせ
いまよりの はきのしたはも いかならむ まついねかての あきかせそふく
いまよりは あはしとすれや しろたへの わかころもての かわくときなき
いまよりは あらふるこころ ましますな はなのみやこに やしろさためつ
いまよりは いへのかせにそ つたふへき なをかけそむる わかのうらなみ
いまよりは かせにまかせむ さくらはな ちるこのもとに きみとまりけり
いまよりは くもゐのかりも こゑたてて あきかせさむく なりまさるなり
いまよりは ころもうつなり あきかせの さむきゆふへの をかのへのさと
いまよりは すすしくなりぬ かたをかの しののはわけの あきのはつかせ
いまよりは たたゆくすゑの まつかせを よそのこととや おもひなしてむ
いまよりは とたえもみえし しらゆきの つきてふりしく くめのいははし
いまよりは なにをかあきの なこりとも みつつしのはむ このはちるころ
いまよりは はなのたよりに ひとまたし ちれはわかるる おもひそひけり
いまよりは はるになりぬと かけろふの したもえいそく のへのわかくさ
いまよりは またるるはなの おもかけに たつたのやまの みねのしらくも
いまよりは もみちのもとに やとりせし をしむにたひの ひかすへぬへし
いまよりは わかなつむへき ふるさとの みかきかはらに ゆきはふりつつ
いまよりや おもひたえなむ いつはりを まちならひにし ゆふへなりとも
いまよりや つらきかたみと なりもせむ わかきぬきぬの そてのつきかけ
いもかかと ゆきすきかねて くさむすふ かせふきとくな あはむひまてに
いもかすむ やとのこなたの ころもかは わたらぬをりも そてぬらしけり
いもかそて わかれしひより しろたへの ころもかたしき こひつつそぬる
いもかため ほつえのうめを たをるとて しつえのつゆに ぬれにけるかも
いもかりと さほのかはへを わかゆけは さよかふけぬる ちとりなくなり
いもせかは なひくたまもの みかくれて われはこふとも ひとはしらしな
いもせやま おもはぬなかに ゆくみつの たかつらさより なをなかすらむ
いもせやま なかるるたきの おとにのみ きかぬはかりを なほやたのまむ
いもせやま みねのあらしや さむからむ ころもかりかね そらになくなり
いもとねて おきゆくあさの みちよりも なかなかものの おもはしきかな
いもにこひ よさむなるみの いねかてに さもふきまさる かせのおとかな
いもにこひ わかのまつはら みわたせは しほひのかたに たつなきわたる
いもやすく ねられさりけり はるのよは はなのちるのみ ゆめにみえつつ
いやしきも よきもさかりの すきぬれは おいてこひしき むかしなりけり
いりあひの おとはかすみに うつもれて くもこそかをれ をはつせのやま
いりあひの こゑするやまの かけくれて はなのこのまに つきいてにけり
いりえこく をふねになひく あしのほは わかるとみれと たちかへりけり
いりえなる まつはとしへて おいにけり えたもみとりも こけむしてみゆ
いりかたく さとりかたしと きくかとを ひらくははなの みのりなりけり
いりかたの つきのそらさへ ひひくまて とほちのむらは ころもうつなり
いりしより はるしらぬみも あるものを みやまないてそ たにのうくひす
いりそむる こひちはすゑや とほからむ かねてくるしき わかこころかな
いりぬとて ひとのいそきし つきかけは いててののちも ひさしくそみし
いりぬるか あかぬわかれの かなしさを おもひしれとや やまのはのつき
いりひさす うらよりをちの まつはらに きりふきかくる あきのしほかせ
いりひさす さほのやまへの ははそはら くもらぬあめと このはふりつつ
いりひさす とよはたくもに わきかねつ たかまのやまの みねのもみちは
いりひさす みねのうきくも たなひきて はるかにかへる とりのひとこゑ
いりひさす もりのしたはに つゆみえて ゆふたちすくる そらそすすしき
いりひさす ゆふかりをのの したはれて くさとるとりの あともかくれす
いるかたの やまのはちかき つきかけを みにたくへても あはれとそみる
いるかたを うきよのほかに なくさめて つきにこころの やみははるけよ
いるつきに てりかはるへき もみちさへ かねてあらしの やまそさひしき
いるつきの かへりてやみは てらすとも うきよにめくる かけはととめし
いるつきを かへすあらしは なかりけり いつるみねには まつのあきかせ
いるひとの おとつれもせぬ しらゆきの ふかきやまちを いつるつきかけ
いろいろに あまたちとせの みゆるかな こまつかはらに たつやむれゐる
いろいろに おもひこそやれ すみそめの たもともあけに なれるなみたを
いろいろに かはるこすゑの もみちはも しくれならては そむるものかは
いろいろに さかえてにほへ さくらはな わかきみきみの ちよのかさしに
いろいろに ちくさのはなの さきしより よをへてかはる にはのつきかけ
いろいろに ほむけのかせを ふきかへて はるかにつつく あきのをやまた
いろいろの あきののへをは はなすすき まねかすとても たたやすくへき
いろいろの このはなかるる おほゐかは しもはかつらの もみちとやみむ
いろいろの はなのにほひを あさことに よものほとけに たむけつるかな
いろいろの はなはさかりに にほふとも のはらのかせの おとにのみきけ
いろかはる あきのきくをは ひととせに ふたたひにほふ はなとこそみれ
いろかはる こころこのはに あとたえて かよひしにはそ しもになりゆく
いろかはる こすゑをみれは さほやまの あさきりかくれ かりはきにけり
いろかはる したはをかけて あきはきの はなのにしきは おりかさねつつ
いろかはる そてのなみたの かきくらし よそもしくるる かみなつきかな
いろかはる つゆをはそてに おきまよひ うらかれてゆく のへのあきかせ
いろかはる のはらのこはき たかあきに あらぬものゆゑ しかのなくらむ
いろかはる はきのしたはの したにのみ あきうきものと つゆやおくらむ
いろかはる ははそのこすゑ いかならむ いはたのをのに しくれふるなり
いろかはる ひとのこころの あさちはら いつよりあきの しもはおくらむ
いろかはる みののなかやま あきこえて またとほさかる あふさかのせき
いろかはる やなきかうれに かせすきて あきのひさむき はつかりのこゑ
いろかはる をののあさちの はつしもに ひとよもかれす うつころもかな
いろかへぬ たけのけしきに しるきかな よろつよふへき きみかよはひは
いろかへぬ ちとせのともと おもひしに まつもかひなく おいにけるかな
いろかへぬ ときはのまつの かけそへて ちよにやちよに すめるいけみつ
いろかへぬ はなたちはなに ほとときす ちよをならせる こゑきこゆなり
いろかへぬ まつによそへて あつまちの ときはのはしに かかるふちなみ
いろかへぬ まつのちとせを とりそへて わかゆくすゑも よろつよのはる
いろかへぬ まつもなになり よろつよに ときはににほふ はなもさけれは
いろかへぬ みむろのさかき としをへて おなしときはに よをいのるかな
いろかをは おもひもいれす うめのはな つねならぬよに よそへてそみる
いろかをも しるひとならぬ わかために をるかひなしと はなやおもはむ
いろことに うつろひゆかは いかかせむ なひくあさちの あきのはつかせ
いろことに さけるうめかえ うへしこそ をるひとからの そてにしむらめ
いろそへむ みゆきをそまつ もみちはも ふりぬるやとの にはのけしきに
いろならは いつれかいかに うつるらむ みせはやみはや おもふこころを
いろならは うつるはかりも そめてまし おもふこころを しるひとのなき
いろにつき にほひにめつる こころとも うめかえよりや うつりそめけむ
いろはくも にほひはかせに なりはてて おのれともなき やまさくらかな
いろふかき そてのなみたに ならふらし ちしほやちしほ そむるもみちは
いろふかき なみたをかりて ほとときす わかころもての もりになくなり
いろふかき やしほのをかの もみちはに こころをさへも そめてみるかな
いろふかく うつりにけりな かりひとの まそてにわくる はきのあさつゆ
いろふかく そめしこころそ わすられぬ みやまのさとの うめのにほひに
いろふかく そめたるたひの かりころも かへらむまての かたみともみよ
いろふかく みるのへたにも つねならは はるはすくとも かたみならまし
いろまさる ほとこそみえね むらしくれ そめてくれぬる やまのもみちは
いろみえて なかれもやらす やまふきの うつろふかけや ゐてのしからみ
いろみえぬ こころのほとを しらするは たもとをそむる なみたなりけり
いろみえぬ これやしのふの すりころも おもひみたるる そてのしらつゆ
いろもかも おなしむかしに さくらめと としふるひとそ あらたまりける
いろもかも こころのうちに あるものを をしむにいかて はなのちるらむ
いろもかも たくひはあらし さきみちて のきはにあまる うめのしたかせ
いろもかも なほみにしむと しらせはや おなしむかしの はなならすとも
いろもかも むかしのこさに にほへとも うゑけむひとの かけそこひしき
いろもかも むなしととける のりなれは いのるしるしは ありとこそきけ
いろもかも わすれしすみの ころもてに なにそはにほふ うめのしたかせ
いろもなき こころをひとに そめしより うつろはむとは おもほえなくに
いろよりも なほたくひなき くれなゐの こそめはうめの にほひなりけり
うかひふね あはれとそみる もののふの やそうちかはの ゆふやみのそら
うかひふね くたすとなせの みなれさを さしもほとなく あくるよはかな
うかひふね くたすほとなき みしかよの かはせにのこる かかりひのかけ
うかひふね せせさしのほる しらなみに うつりてくたる かかりひのかけ
うかひふね のほりもやらぬ おなしせに ともまちそふる かかりひのかけ
うかやふき なきさにあとを ととめしそ かみよをうけし はしめなりける
うかりける あらいそなみの おとまても ならはぬたひに そてそしをるる
うかりける このよのさかの あきのくれ つゆもしくれも みにやそふらむ
うかりける さののなかかは さのみなと あふせたえても こひわたるらむ
うかりける そのよのゆめを うつつにて うらむるほとの ちきりともかな
うかりける たかならはしに あきくさの うつろふころは しかのなくらむ
うかりける はなのあたなる なをたてて ちるはならひと かせやふくらむ
うかりける ひとこそあらめ あかつきの くもさへみねに なとわかるらむ
うかりける ひとのこころの あさねかみ なにいたつらに みたれそめけむ
うかりける ひとのこころの わすれみつ なとふかからぬ ちきりなるらむ
うかりける ふしをはすてて しらいとの いまくるひとと おもひなさなむ
うかりける みのふのうらの うつせかひ むなしきなのみ たつはきききや
うかりける みをのそまやま かすならぬ おなしなけきは ひくひともなし
うかりける よよのちきりを おもふにも つらきはいまの こころのみかは
うかりける わかみひとつの ゆふくれを たくひありとや しかもなくらむ
うかりしも かたみとおもふ あきにさへ かさねてまたや けふはわかれむ
うかりつる ふちのころもの かたみさへ わかるとなれは またそかなしき
うかるへき みのよかたりを おもふにも なほくやしきは ゆめのかよひち
うかるへき わかれをかねて したへとや またふかきよに とりのなくらむ
うきあきの おなしあはれに むかしとも いまともわかす ぬるるそてかな
うきくさの うきたるよには さそふみつ ありともいかか みをはまかせむ
うきくさの かせにたたよふ ぬまみつに かけさたまらて とふほたるかな
うきくもに かくれてとこそ おもひしか ねたくもつきの ひまもりにける
うきくもに みをしなさねは ひさかたの つきへたつとも おもはさりけり
うきくもの いさよふよひの むらさめに おひかせしるく にほふたちはな
うきくもの かかれるほとは いてやらて しくれをすくす やまのはのつき
うきくもの みねたちまよふ むらさめに さそはれいつる やまほとときす
うきくもを さそひもはてぬ やまかせに たちかへりふる むらしくれかな
うきことに なれぬるものは こころとて なほもつれなく よをやすくさむ
うきことの かきりしられぬ ねさめかな しきのはねかき かすはかけとも
うきことの しけきやとには わすれくさ うゑてたにみし あきそわひしき
うきことの つひにたえすは かみにさへ うらみをのこす みとやなりなむ
うきことの まとろむほとは わすられて さむれはゆめの ここちこそすれ
うきことは いろもかはらぬ おなしよに あはれいつまて いきのまつはら
うきことは みにそふものと おもひしに はなれておつる わかなみたかな
うきことは よにふるほとの ならひそと おもひもしらて なになけくらむ
うきことも いくよかあらむ よしのかは よしやひとをも いまはうらみし
うきことも なくさむみちの しるへにや よをすみよしと あまくたりけむ
うきことも なにをかことの ゆふへそと とははやひとに あきのならひを
うきことも わかみにむけて ことわりと おもひなすには うらみしもなし
うきことを おもひつつけて ねぬるよは ゆめのうちにも ねそなかれける
うきことを おもへはくもる なみたかな みをわすれてそ つきはみるへき
うきことを しのふるあめの したにして わかぬれきぬは ほせとかわかす
うきことを をりをりことに しのふれは つらきもひとの かたみなりけり
うきしつみ ふちせなかるる もみちはは ふかくあさくそ いろもみえける
うきせにも うれしきせにも さきにたつ なみたはおなし なみたなりけり
うきたひに これそかきりと かこちしは はかなくたのむ こころなりけり
うきたひに なほよをかこつ こころこそ けにかすならぬ みをわすれけれ
うきたひの たたあらましと おもひしに ちきりありける すみそめのそて
うきてたつ くもふきはらふ やまかせの をささにすくる おとのはけしさ
うきてゆく くものたよりの むらしくれ ふるほともなく かつはれにけり
うきときと わかれしまては おもひしに おなしつきひそ かたみなりける
うきなかに なもむつましき あふさかの せきちはゆるせ たひならすとも
うきなかの それをなさけに ありしよの ゆめよみきとも ひとにかたるな
うきなかは あささはをのの かきつはた うつろふままに へたてはてつつ
うきなかは あらいそなみの うつせかひ おもひよらすは みをもくたかし
うきなかは ちきりあさまの ゆふけふり わかためもゆと みやはとかめむ
うきなから あるにまかする わかみこそ かくてもすつる このよなりけれ
うきなから あれはあるよの ならひこそ いまはわかみに おもひしらるれ
うきなから いまはとなれは をしきみを こころのままに いとひつるかな
うきなから おもひいてける をりをりや ゆめにもひとの みえしなるらむ
うきなから きえせぬものは みなりけり うらやましきは みつのあわかな
うきなから このよはさても すみそめの そてにはつきの くもらすもかな
うきなから さすかにものの かなしきは いまはかきりと おもふなりけり
うきなから しはしはみえし おもかけも いつのつきひか かきりなりけむ
うきなから そむきもはてぬ あらましに いくたひおなし よをいとふらむ
うきなから なほつれなくて すくすとも あらしわかみの すゑのおもひて
うきなから なれぬるものは としつきの つらさをかこつ なみたなりけり
うきなから ひとのためそと おもはすは なにをよにふる なくさめにせむ
うきなから ひとをわすれむ ことかたみ わかこころこそ かはらさりけれ
うきなから みをもいとはし よのなかに あれはそひとを よそにてもみる
うきなから よるへをそまつ なにはえの あしわけをふね よそにこかれて
うきなのみ たかせのよとの こもまくら かはさぬなかに なほやみたれむ
うきなのみ をしまのあまに みをかへて いかにうらみむ ひとのこころを
うきなのみ をしまのあまの ゆふけふり たてしとすれは うらかせそふく
うきなをも よそになしてや なくさめむ われをふるせる あきのゆふくれ
うきにかく こひしさまさる ものならは いさつらからむ いかかおもふと
うきにこそ なみたはおつれ かみなつき そのこととなく ふるしくれかな
うきにそふ かけよりほかの とももなし しはしなきえそ まとのともしひ
うきになほ こりすそたのむ いつはりを かこちてたえむ こころならねは
うきになほ たへてつれなき すゑのまつ こゆるなみをも えこそうらみね
うきにのみ そてはぬるとも よよへぬる あとをはのこせ わかのうらなみ
うきにはふ あしのしたねの みこもりに かくれてひとを こひぬひはなし
うきねして きけはあしやの うらかせに ひまこそなけれ おきつしらなみ
うきねする とこのうらかせ おとふけて なみのまくらに つきそかたふく
うきねせし みつのうへのみ こひしくて かものうはけに さえそおとらぬ
うきはみの むくひとしらて おほかたの よのならひとも おもひけるかな
うきひとと おもふたにこそ こひしけれ うらやましくも わすれぬるかな
うきひとの おもかけそへて たのむよも こぬよもひとり つきをみるかな
うきひとの こころのせきと なりはてて なほこえかたき あふさかのやま
うきひとの こころのたねの わすれくさ いつわかなかに しけりそめけむ
うきひとの こころをのみや うらむへき わかみもものを おもひしるやは
うきひとの つらさはいつを たのめとて あふまてをしむ いのちなるらむ
うきひとも さすかいそかぬ わかれちに こころをつくる かねのおとかな
うきひとを しのふへしとは おもひきや わかこころさへ なとかはるらむ
うきふしと なかなかなりぬ ささまくら むすふひとよの ゆめのちきりは
うきふしの しけきみなれは かけなひく なさへかひなき まとのくれたけ
うきふしは みにつもれとも くれたけの よをかこつへき ことのはそなき
うきふねの たよりもしらぬ なみちにも みしおもかけの たたぬひそなき
うきまくら むすひもはてぬ ゆめちより やかてうつつに かへるなみかな
うきままに さのみかこたし きぬきぬの かたみはのちも ありあけのつき
うきみこそ いとひなからも あはれなれ つきをなかめて としのへぬれは
うきみこそ なほやまかけに しつめとも こころにうかふ つきをみせはや
うきみしも なにのこるらむ たらちねの あととてしのふ ひともなきよに
うきみとて さのみはいかか つつむへき いはてくやしき こともこそあれ
うきみにそ つれなかりける あつさゆみ いかなるかたに こころひくらむ
うきみには いつともわかぬ なみたにて かすみをたとる はるのよのつき
うきみには さこそこころの はれさらめ みるかけさへに かすむつきかな
うきみには ちきりしままに たのむへき ひとのまことも なきよなりけり
うきみには つれなきやまの ほとときす たれにまたせて はつねきかまし
うきみには なひかぬうらの ゆふけふり なきなはかりを なにとたつらむ
うきみには なみたもそてに ふるものを しくれはかりと くもるそらかな
うきみには やまたのおしね おしこめて よをひたすらに うらみわひぬる
