あきかせに ふきかへされて くすのはの いかにうらみし ものとかはしる
あきかせに ほころひぬらし ふちはかま つつりさせてふ きりきりすなく
あきかせに またこそとはめ つのくにの いくたのもりの はるのあけほの
あきかせに みねゆくくもを いてやらて まつほとすくる いさよひのつき
あきかせに やまとひこゆる かりかねの いやとほさかり くもかくれつつ
あきかせに よのふけゆけは あまのかは かはせになみの たちゐこそまて
あきかせに よわたるかりの ねにたてて なみたうつろふ にはのはきはら
あきかせに わかなみたさへ さそはれて をはなにあまる そてのゆふつゆ
あきかせに をきのはそよく まくらより あとなきものは うたたねのゆめ
あきかせに をれしとすまふ をみなへし いくたひのへに おきふしぬらむ
あきかせの うちふきそむる ゆふくれは そらにこころそ わひしかりける
あきかせの うちふくことに たかさこの をのへのしかの なかぬひそなき
あきかせの おとせさりせは しらつゆの のきのしのふに かからましやは
あきかせの くさはそよきて ふくなへに ほのかにしつる ひくらしのこゑ
あきかせの さむきあさけに きにけらし くもにきこゆる はつかりのこゑ
あきかせの さむくしなれは あさきりの やへやまこえて かりもきにけり
あきかせの すたれうこかし ふくなへに にはくさなひき きりきりすなく
あきかせの たかきみそらは くもはれて つきのあたりに かりのひとつら
あきかせの ねやすさましく ふくなへに ふけてみにしむ とこのつきかけ
あきかせの ふかぬころたに あるものを こよひはいとと ひとそこひしき
あきかせの ふきくるよひは きりきりす くさのねことに こゑみたれけり
あきかせの ふきしくまつは やまなから なみたちかへる おとそきこゆる
あきかせの ふきそめしより をきのはの そよくをきかぬ ゆふくれそなき
あきかせの ふきとふきぬる むさしのは なへてくさはの いろかはりけり
あきかせの ふきにしひより かたをかの せみのなくねも いろかはるなり
あきかせの ふくにつけても とはぬかな をきのはならは おとはしてまし
あきかせの ふくにまちかく きこゆるは こゑにおくれて かりやきぬらむ
あきかせの まつふくおとも うらさひて かみもこころや すみのえのつき
あきかせの みにしみそむる さとひとや まつおとつれて ころもうつらむ
あきかせの みにしむはかり かなしきは つまなきとこの ねさめなりけり
あきかせの ややふきしけは のをさむみ わひしきこゑに まつむしそなく
あきかせの よとこをさむみ いねかてに ひとりしあれは つきかたふきぬ
あきかせの よものやまより おのかしし ふくにちりぬる もみちかなしな
あきかせは おもふかたより ふきそめて みやここひしき しらかはのせき
あきかせは こすゑをはらふ ゆふくれに くももかからぬ やまのはのつき
あきかせは すすしくなりぬ こまなへて いさみにゆかむ はきのはなみに
あきかせは とほきくさはを わたるなり ゆふひのかけは のへはるかにて
あきかせは のきはのまつを しをるよに つきはくもゐを のとかにそゆく
あきかせは ひことにふきぬ たかまとの のへのあきはき ちらまくをしも
あきかせは ふきむすへとも しらつゆの みたれておかぬ くさのはそなき
あきかせは みにしむはかり ふきにけり いまやうつらむ いもかさころも
あきかせは よことにふきぬ たかさこの をのへのはきの ちらまくをしも
あきかせも ふきたちにけり いまよりは くるかりかねの おとをこそまて
あきかせも よさむにふきぬ さをしかの つまとふはきの はなやさくらむ
あきかせや なみたもよほす つまならむ おとつれしより そてのかわかぬ
あきかせを おいのねさめに まちえても こほれやすきは なみたなりけり
あきかせを そむくものから はなすすき ゆくかたをなと まねくなるらむ
あききては けふそくもまに みかつきの ひかりまちとる はきのうはつゆ
あききても とはれすとてや つのくにの いくたのもりに しかのなくらむ
あききぬと いはぬはかりそ なつころも すそののはらの ならのしたかけ
あききぬと おもひもあへぬ あさけより はしめてすすし せみのはころも
あききぬと おもひもあへぬ をきのはに いつしかかはる かせのおとかな
あききぬと かみもしるらむ かたをかの もりのしたかせ おとかはりぬる
あききぬと くもゐのかりの こゑすなり こはきかもとや つゆけかるらむ
あききぬと まつふくかせも しらせけり かならすをきの うははならねと
あききぬと ゆふつけとりの なくなへに けさやたつたの やまのしたかせ
あききりに つままとはせる かりかねの くもかくれゆく こゑのきこゆる
あききりの そらになくなる はつかりは かすみしはるや おもひいつらむ
あききりの たえまたえまを なかむれは そらにうきたる つきそなかるる
あききりの たえまをみれは あさつくひ むかひのをかは いろつきにけり
あききりの たちしかくせは もみちはは おほつかなくて ちりぬへらなり
あききりの たちぬるときは くらふやま おほつかなくそ みえわたりける
あききりの たつたひころも おきてみよ つゆはかりなる かたみなりとも
あききりの はれせぬみねに たつしかは こゑはかりこそ ひとにしらるれ
あききりの はれぬあしたの おほそらを みるかことくも みえぬきみかな
あききりの へたつるあまの はしたてを いかなるひまに ひとわたるらむ
あききりの みねにもをにも たつやまは もみちのにしき たまらさりけり
あききりの やへにかさなる やまのはを こゑもへたてす かりはきにけり
あききりは たちかくせとも はきはらに しかふしけりと けさみつるかな
あききりや やまたちかくし そめつらむ はれていろこき みねのもみちは
あきくさの かれはかしたの きりきりす いつまてありて ひとにきかれむ
あきくれは あきのけしきも みえけるは ときならぬみと なににいふらむ
あきくれは おもひみたるる かるかやの したはやひとの こころなるらむ
あきくれは ちちにおもひの なかきよを つきにうらみて しかもなくなり
あきくれは ときはのやまの まつかせも うつるはかりに みにそしみける
あきくれは のもせにむしの おりみたる こゑのあやをは たれかきるらむ
あきくれは はたおるむしの あるなへに からにしきにも みゆるのへかな
あきくれは むしもやものを おもふらむ こゑもをします なきあかすかな
あきことに かみなひやまの もみちはは たれかたむけの にしきなるらむ
あきことに かりつるいねは つみつれと おいにけるみそ おきところなき
あきことに たひゆくかりは しらくもの みちのなかにや よをつくすらむ
あきことに つらをはなれぬ かりかねは はるかへるとも かへらさらなむ
あきことに なくさめかたき つきそとは なれてもしるや をはすてのやま
あきさむき ころとやよわる あさちふの つゆのやとりの まつむしのこゑ
あきさむく なりにけらしも やまさとの にはしろたへに てらすつきかけ
あきさむみ つゆかけしより をやまたの わさほのかつら いろつきにけり
