あおぎりの むらなるさやの さやさやに てれるこよひの つきのすずしさ
あおくさの どてにねころび がくたいの とおきひびきに ねむたうなりぬ
あおくさの どてにねころび がくたいの とおきひびきを ごそらよりきく
あおくさの はなことごとう くれなゐに さきなばなつの みやつくらせむ
あおくさの ゆかゆはるかに てんくうの ひのさわをみて わがひばりやむ
あおくすむ そらのあなたに のぞむべき ものあるごとく おもはるるひか
あおくりの むらがりている やまはらに われはしまらく いきをやすめぬ
あおくわの あらしのなかに かおあげて おんなのこえの とおくよばへる
あおぐもの やまでらにゐて とおしたの ひとさとみるは あはれふかけれ
あおこけに つつみもてこし つがのきの そのちひさきが あをあをといる
あおさぎに しらさぎまじり あはれなり こおりのおもて すいにうすくて
あおさぎに しらさぎまじり あはれなり こおりのひびの みずにうすきを
あおざめて ゆくそらががと なくあひる つとかをりくる ほそきかをりよ
あおしおに こうようかでり そうとうの そらまひめぐる しろはとのむれ
あおしおの かなたにはろか ふじがねの しろじろとして あらはれゐるも
あおしおの つらなるうえの いちところ しらなみをどる いけるがごとく
あおしおの ところどころに しびのたち かすみにながく うねれるはちた
あおしおの ゆたけきゆれの たかまりて うみかたむくと みればくづるる
あおしおの ゆたにわくごと かおるごと しずかなるかな わがしのみれい
あおしだは しげりしげりて おのがじし そのしもかげを もつべくなりつ
あおしばに そっとはなせば ひるふかみ せいのいせえび とびはねにたり
あおしばの おきふしひろく いしのみを すゑたるにわや やまによるいえ
あおしばの とおきつらなり かたむきて すぎのこだちの くらきにかくる
あおじめり ごがつのくもに しびれたる しがいのあさの わこうどのめよ
あおじめる うすきひかりを うるほへる きみがひとみの なかにみいでぬ
あおじろう はたほのぐらう ときすぎて ひたくらをこぎ とろいづるふね
あおじろき ひかりをなげて きえにける やみのねやとの あきのいなつま
あおじろき ひはさしながら ゆきのふる いたやのやまを のぼりつつおり
あおじろき よるのこころに ちるはなは ほのかなりけり まつのたぐひか
あおじろく ふきのこされし くもかとも あらしのあとの よいのみかづき
あおすぎの ほなみにふるる あさそらの あざらけきかな なみうっごとく
あおすすき すやすやのびて ほにいでむ ながさににたる すずしきぶんよ
あおすすき はれていくひを のがよひの かみにさやらむ かさもかづかせ
あおぞらに いちひらのくも あらわして こころあるごと うつりゆかしむ
あおぞらに かそけきおとの たつきこえ つきのもみぢは かたにちりくる
あおぞらに なびかふくもの はろばろし ひとりあゆめる みちにつまづく
あおぞらの あおにまみれて ゆくいちき おもひおよばぬ ものにみあぐる
あおぞらの いろにもしまず てんわたる つきにもぬれず あららけきやま
あおぞらの おくへつづける すぎばやし きぬれかすかに けぶりよどめる
あおぞらの とおくにしるき やまひとつ ゆきをいただき かがやきてあり
あおぞらの ひろきにひらき このまどは ほとほとものを わすれしむるも
あおぞらは ふゆきざしくる ひかりにて ざつぼくをすく るこぬまのみず
あおぞらを くもゆくなべに みのめぐり くらくあかるく ゆらぐわかばを
あおだけに たけだてかくる こえふかし こまかにしまし そのとがのゆれ
あおだけは さつきのいえを あらたなる かなしみをもて まばらかこみぬ
あおだけを てにふりながら どうじきて なにかおちゐぬ おももちをせり
あおだたみ あおいろあせし わがあんに きみがめぐみの くらししのかわ
あおなみに めまいおぼえて とがりたる みさきだんがい われらぞつたふ
あおなみの あきのうみべの ながれもの なびきてねしけ そのくろかみを
あおによし ならさんをこえ いかさまに とぶひののべを きみゆくらんか
あおぬりの せとのひばちを なでてみぬ こころゆるめる がんじつのあさ
あおのそら すむともなしに あおあおと くれゆくかなし とりかげもみず
あおのには きなるこばなが むれさきて めじのとほくに なるところあり
あおのはら がわひとすじの ながきひを ものさびしらに なくかえるかも
あおのはら ちぶさににたる つかふたつ さがみのひとを のせてまろらに
あおのはら ふうにふかれて ふえふいて きみにいくひを くもしろうとぶ
あおのゆき おもひはるけし かのこひは いまだかはらず ゆくへしらずも
あおばきの きぐんねりくる きぬのかさ いくつあはれと みればきえつつ
あおばもて つくりしこやに ねるわがを あらはにみせて つきはてりたり
あおばもり とほくうごくを みつつゐる なみだつあおの ひまのひかりを
あおばらの なかにうれたる いちつぶの いちごとおもひ くちづけしかな
あおばろの あめのしめりの すなのうへ つばめとわれと ふみつつぞいく
あおぶくろ へちまたれたり しかすがに そのあをふくろ つぎめしらずも
あおみたる はるのきのめに にるものも なきなつかしさ ふとおぼえける
あおみつつ よせぬるなみは ゆたゆたに きしにたゆたふ あげしほのなみ
あおみばら きらめきつづく なみありて てんでんふひに そひてはうつる
あおむきに ねればひざしに かおほてり げんげつめたく てあしをつつむ
あおむぎの つめたきかをり ゆくゆくも わがみつつみて のじはくらしも
あおむけば みそらみなぎる げっこうに こずゑははなの みなめざめどき
あおやかに あけゆくそらの したにたち ひかりまちとり がおてらさしむ
あおやかに はをひるがへす あきかぜに あらはれいでて すいかすずしき
あおやかに ふきしわりくる まつのかぜ とをあけてゐて さむしともなき
あおやぎに うめおりもちて あそびせし おおとものこを おもひっつゆく
あおやぎに こうもりあそぶ えもようの あいふかきかも このさかずきに
あおやぎの なひくはるのに くさはみて むれいるうしを かみをおもはん
あおやまに すえはまぎるる みちなれば かへらぬわれと ならむとすらむ
あおやまに すみてあたれる ひのひかり さくらをみれば くにはたたかふ
あおやまに ゆうひへんてる さびしさや いりえのまちの まざまざとみゆ
あおやまに ゆうひまざまざ てるころや いりえのまちの さびしあらはに
あおやまの いただきにきて きりあそぶ こころしめりて すそのをくれば
あおやまの いちびにかかる ほそきくも しろくてりでで うつろふとせぬ
あおやまの いちもとあおき きりかかり たびびとのめに さびしううつる
あおやまの うみにつきたる たかきいそ はるかにつづき きたしろあらず
あおやまの きりふかみゆく にちぼつに いきなやむなり たびびとのつま
あおやまの くさばのしたに ながかりし こころのすゑは みだれずあらむ
あおやまの くさばのしたに ながかりし こころのすゑも みだれずあらむ
あおやまの すそにみえゐる ぶらくとう はうみのしおに ひたれるごとし
あおやまの たかきかこみの きたにのび かすかにしろく ひかれるやゆき
あおやまの はれたるあさを いえいでて わがみるときに こころしづまる
あおやまの やまかひのぼる みちのそら くらきすぎより さくらてりでづ
あおやまの やまふところに ほこりたち ゆうひかすめり やけはらのうへ
あおやまの ゆきかがやけり このむらに ちちはいのちを たもちています
あおやまを くれなゐふかく なきしむる たつためがみの ちのなみだかも
あおやまを ふきとほりくる かぜつよし いしかげとめて みをかがめおり
あか々とこ くれんぐわしの けはたれて たへいくこらに あさそよぐなり
あかあかと あきのいりひに そめられて おちぼひろへる めいかあらじか
あかあかと あさやけにけり ひんがしの やまほうのそら あさやけにけむ
あかあかと いちほんのみち とほりたり たまきはるわが いのちなりけり
あかあかと いりひのはてに ほすすきの かぎろひたてる あきのじんみゆ
あかあかと いろただれたる やまはみゆ たによりいづる けむりなづさふ
あかあかと うみのなぎさを てらしたる あきのよのつき あかつきにおつ
あかあかと すぎふとしきの こがらしに ひのあけぼのの くもみだれたり
あかあかと そらはあかるし あしもとの くろきじめんを みつめけるかも
あかあかと ちのいろしたる らくじつの うみこそみゆれ すなやまくれば
